"id","geom","filename","code","value","datetime","camera_model","gpsimagedirection","azimuth","bbox_in_picture","sign_center","lon_picture","lat_picture","sequence_id","picture_id","result"
63,NULL,"8a8509b1fc85d6bf4650a5c58349003b28bd3c4907ec079bc7fcf5697b733641.jpg","A00",NULL,"2021-11-10 13:23:38","PULSAR","42949657",NULL,"[1152,2784,1280,2960]",NULL,"7.752852","48.598955","a546a40c-f70b-4e12-9ca8-e0c5c56234f1","e0271fcf-a40e-4611-9e09-982826a2d7d0",NULL
64,NULL,"8a93650dd770afaa56e466d7d7484bf966552ea24258acc8cd635d4fcb805021.jpg","A00",NULL,"2021-08-18 15:37:12","Pilot","49.18",NULL,"[4928,1776,5184,2112]",NULL,"7.734726","48.527068","3aa41e17-428f-4b02-8f3c-5df4876cd86d","1ab7505f-98f1-4670-9606-f34702ef0abb",NULL
65,NULL,"8d66af9842b7206213cbbdaf43ba2c3ace8edc4f6138770e8a3bceb3e9215947.jpg","A00",NULL,"2022-07-14 10:46:11","PULSAR","318.77",NULL,"[1616,2768,1728,2928]",NULL,"7.685012","48.532555","a0ba7224-472a-4eb3-8eef-e6da60206dbe","5e0328b2-8f6d-414e-82db-c3cb6b599ead",NULL
66,NULL,"91bbd9e7149e379ed695ffb1d5c514e7378c2a24886df15af1a7c9307203398b.jpg","A00",NULL,"2021-08-18 16:33:33","Pilot","273.48",NULL,"[6208,1760,6384,2000]",NULL,"7.7314","48.50916","3ab5b81c-8418-4e69-acd4-5b6dd8e1f4de","b3103bdc-9a40-4be1-8a07-06d7df3d82a7",NULL
67,NULL,"961e25ad943c6d75f7f36357583f4645d30a07024e6e9ac4e0b261d4f9a3bbe4.jpg","A00",NULL,"2021-08-18 15:37:07","Pilot","85.56",NULL,"[6608,1744,6848,2048]",NULL,"7.734252","48.527053","774a96f5-0b2c-483a-8b90-55fd99a6faef","f307c7f1-d825-4d4e-8d8f-9bfa7bb9ecbc",NULL
68,NULL,"9c55505cac7ef9c61759cc078070ee8d55cd73925240752d9c1172a66bb33054.jpg","A00",NULL,"2021-08-10 12:02:15","LB5","163.76",NULL,"[7488,2064,7584,2208]",NULL,"7.709848","48.588483","03a9ff97-2b2a-4d14-9b5d-803e713e3e9b","a634a8ec-8923-4acb-a2e1-c769244c27a7",NULL
69,NULL,"A00 0.65837338.jpg","A00",NULL,"2022-10-07 11:04:04","PULSAR","25.97",NULL,"[0,2448,160,2688]",NULL,"7.683795","48.493187","e1c71c9a-fcf6-40fa-b72a-bf2da50b3ef9","c7e632a0-8a48-4d22-8959-e2d106bdeb2a",NULL
70,NULL,"A00 0.91948056.jpg","A00",NULL,"2020-10-14 10:28:54","PULSAR","185.02",NULL,"[5168,2528,5520,2960]",NULL,"7.68714","48.6059","36112e48-e8c7-482e-96fa-03d4e528df62","e3f2854e-18a9-4952-a929-957f47f9d567",NULL
71,NULL,"A00 0.93235264.jpg","A00",NULL,"2021-08-12 11:48:21","Pilot","32.13",NULL,"[2352,2080,2432,2208]",NULL,"7.757947","48.626821","e425fb2b-1403-4b5b-a7fa-02eb231f180d","2152d6ea-610f-44f1-9828-eacf4193183c",NULL
72,NULL,"A00 0.93877932.jpg","A00",NULL,"2022-04-21 12:59:42","PULSAR","194.53",NULL,"[6176,2576,6336,2784]",NULL,"7.718949","48.518208","6b2a7cfb-0072-431d-8e70-288ca4403d36","90a76024-5d84-41f6-a073-d4647874eef2",NULL
73,NULL,"A00 0.97234415.jpg","A00",NULL,"2021-08-05 11:05:39","LB5","280.18",NULL,"[7328,1968,7472,2160]",NULL,"7.769156","48.592057","30b288dc-2d66-483f-b049-405f981a63cc","f17c5d94-1613-4532-8c43-3eabcb0b18ab",NULL
74,NULL,"A00 0.97521619.jpg","A00",NULL,"2022-06-03 14:15:05","PULSAR","90.24",NULL,"[3680,2400,3824,2624]",NULL,"7.758402","48.55432","19dc2aca-caa6-4cdd-8d25-5fb213b58a78","0b6bf6c1-94ab-4e99-98e7-5b0b910522e8",NULL
75,NULL,"A00 0.97895373.jpg","A00",NULL,"2022-07-14 13:54:59","PULSAR","302.54",NULL,"[144,2528,352,2784]",NULL,"7.656222","48.520854","5760c881-d684-4747-acc4-17bed62d3a80","a8b13fe3-d584-4dd5-8475-606697f86be3",NULL
76,NULL,"A00 0.97969641.jpg","A00",NULL,"2022-04-21 14:38:03","PULSAR","2.49",NULL,"[6288,2624,6496,2816]",NULL,"7.721157","48.526089","8c4edc6a-53a3-459b-b902-4a581888ec63","c4224fac-ac07-401e-8cd8-4e0b3d913031",NULL
